time_s	force_N
17.462520	-0.109821
17.464590	1.058151
17.466660	-0.499145
17.468730	0.279503
17.470800	0.668827
17.472870	0.279503
17.474940	0.668827
17.477010	1.058151
17.479080	-0.109821
17.481150	1.058151
17.483220	-0.109821
17.485290	0.668827
17.487360	-0.109821
17.489430	0.279503
17.491500	0.279503
17.493570	0.668827
17.495640	-0.109821
17.497710	0.279503
17.499780	0.668827
17.501850	0.668827
17.503920	0.668827
17.505990	0.279503
17.508060	0.668827
17.510130	0.668827
17.512200	0.668827
17.514270	1.058151
17.516340	0.279503
17.518410	1.058151
17.520480	0.668827
17.522550	0.279503
17.524620	0.279503
17.526690	0.668827
17.528760	1.058151
17.530830	1.058151
17.532900	1.058151
17.534970	0.668827
17.537040	-0.109821
17.539110	1.058151
17.541180	1.058151
17.543250	0.279503
17.545320	0.279503
17.547390	1.058151
17.549460	0.668827
17.551530	-0.109821
17.553600	0.279503
17.555670	1.058151
17.557740	0.279503
17.559810	1.058151
17.561880	0.279503
17.563950	1.058151
17.566020	0.279503
17.568090	-0.109821
17.570160	0.279503
17.572230	-0.109821
17.574300	1.058151
17.576370	1.058151
17.578440	1.058151
17.580510	0.279503
17.582580	1.447475
17.584650	0.668827
17.586720	0.279503
17.588790	0.668827
17.590860	1.058151
17.592930	0.279503
17.595000	0.279503
17.597070	-0.109821
17.599140	-0.109821
17.601210	-0.109821
17.603280	0.279503
17.605350	0.279503
17.607420	0.668827
17.609490	0.279503
17.611560	0.668827
17.613630	1.058151
17.615700	0.279503
17.617770	0.668827
17.619840	-0.109821
17.621910	1.447475
17.623980	0.668827
17.626050	1.058151
17.628120	-0.109821
17.630190	0.668827
17.632260	0.668827
17.634330	0.279503
17.636400	-0.109821
17.638470	0.279503
17.640540	1.447475
17.642610	0.668827
17.644680	0.279503
17.646750	-0.109821
17.648820	-0.109821
17.650890	0.668827
17.652960	0.668827
17.655030	0.279503
17.657100	1.447475
17.659170	0.279503
17.661240	0.668827
17.663310	0.279503
17.665380	0.279503
17.667450	1.058151
17.669520	0.668827
17.671590	0.668827
17.673660	0.668827
17.675730	1.058151
17.677800	1.058151
17.679870	0.668827
17.681940	0.279503
17.684010	0.279503
17.686080	0.279503
17.688150	0.668827
17.690220	0.668827
17.692290	0.668827
17.694360	0.279503
17.696430	0.279503
17.698500	1.058151
17.700570	1.058151
17.702640	0.279503
17.704710	0.279503
17.706780	0.668827
17.708850	0.279503
17.710920	0.279503
17.712990	0.279503
17.715060	0.668827
17.717130	0.279503
17.719200	0.668827
17.721270	0.668827
17.723340	-0.109821
17.725410	0.668827
17.727480	0.668827
17.729550	0.668827
17.731620	0.279503
17.733690	0.668827
17.735760	0.279503
17.737830	0.668827
17.739900	0.668827
17.741970	0.668827
17.744040	1.058151
17.746110	-0.109821
17.748180	1.058151
17.750250	0.279503
17.752320	0.668827
17.754390	0.279503
17.756460	0.279503
17.758530	0.279503
17.760600	0.668827
17.762670	0.668827
17.764740	0.279503
17.766810	0.668827
17.768880	0.279503
17.770950	1.058151
17.773020	-0.109821
17.775090	0.668827
17.777160	0.668827
17.779230	0.279503
17.781300	-0.109821
17.783370	0.668827
17.785440	0.668827
17.787510	1.058151
17.789580	0.279503
17.791650	0.279503
17.793720	0.668827
17.795790	0.279503
17.797860	0.279503
17.799930	0.668827
17.802000	0.668827
17.804070	0.668827
17.806140	-0.109821
17.808210	0.668827
17.810280	0.279503
17.812350	0.279503
17.814420	0.668827
17.816490	0.668827
17.818560	0.279503
17.820630	0.668827
17.822700	1.058151
17.824770	0.668827
17.826840	0.668827
17.828910	0.668827
17.830980	1.058151
17.833050	0.279503
17.835120	0.668827
17.837190	0.279503
17.839260	1.058151
17.841330	1.058151
17.843400	1.058151
17.845470	0.668827
17.847540	1.058151
17.849610	0.279503
17.851680	0.668827
17.853750	0.279503
17.855820	0.668827
17.857890	1.058151
17.859960	0.668827
17.862030	1.058151
17.864100	1.058151
17.866170	0.668827
17.868240	0.279503
17.870310	1.058151
17.872380	0.279503
17.874450	1.058151
17.876520	0.668827
17.878590	1.058151
17.880660	0.279503
17.882730	0.668827
17.884800	0.668827
17.886870	-0.109821
17.888940	0.668827
17.891010	0.668827
17.893080	1.058151
17.895150	0.279503
17.897220	-0.109821
17.899290	-0.109821
17.901360	0.668827
17.903430	0.668827
17.905500	1.058151
17.907570	1.058151
17.909640	1.058151
17.911710	1.058151
17.913780	0.668827
17.915850	0.668827
17.917920	0.668827
17.919990	-0.499145
17.922060	0.668827
17.924130	-0.109821
17.926200	0.279503
17.928270	1.058151
17.930340	1.058151
17.932410	1.058151
17.934480	1.058151
17.936550	0.668827
17.938620	-0.109821
17.940690	1.058151
17.942760	0.279503
17.944830	0.279503
17.946900	0.668827
17.948970	1.058151
17.951040	0.668827
17.953110	0.279503
17.955180	-0.109821
17.957250	1.058151
17.959320	0.279503
17.961390	0.279503
17.963460	0.668827
17.965530	-0.499145
17.967600	0.668827
17.969670	1.447475
17.971740	0.279503
17.973810	0.668827
17.975880	1.058151
17.977950	1.058151
17.980020	0.668827
17.982090	0.668827
17.984160	0.668827
17.986230	0.668827
17.988300	-0.109821
17.990370	0.279503
17.992440	0.279503
17.994510	-0.109821
17.996580	0.668827
17.998650	0.279503
18.000720	0.668827
18.002790	0.668827
18.004860	0.668827
18.006930	0.279503
18.009000	-0.109821
18.011070	1.058151
18.013140	0.279503
18.015210	1.058151
18.017280	0.279503
18.019350	0.279503
18.021420	0.279503
18.023490	0.668827
18.025560	0.279503
18.027630	0.279503
18.029700	0.668827
18.031770	0.279503
18.033840	1.058151
18.035910	0.668827
18.037980	1.058151
18.040050	1.058151
18.042120	1.058151
18.044190	0.279503
18.046260	1.058151
18.048330	0.668827
18.050400	1.058151
18.052470	0.279503
18.054540	1.058151
18.056610	0.279503
18.058680	-0.109821
18.060750	-0.499145
18.062820	0.668827
18.064890	0.279503
18.066960	0.279503
18.069030	0.279503
18.071100	0.279503
18.073170	1.058151
18.075240	1.058151
18.077310	1.447475
18.079380	-0.109821
18.081450	0.279503
18.083520	1.836799
18.085590	0.279503
18.087660	0.668827
18.089730	0.668827
18.091800	0.668827
18.093870	-0.109821
18.095940	0.279503
18.098010	0.279503
18.100080	0.668827
18.102150	0.668827
18.104220	0.668827
18.106290	-0.109821
18.108360	0.279503
